,title,product_type,vendor,tags
0,103 Wireless,NeckBand,simba,IPX4 water resistant 10mm Titanium drivers\nBluetooth v5.0
1,10W 2A Wall Charger,Chargers,simba,in-built smart IC Protection
2,180W RMS Sound,SoundBars,simba,Aavante Bar 2400 5.1 Channel Sound Multiple Connectivity\n2 Satelite Speakers
3,18W Dual QC-PD Charger with Micro USB cable,Chargers,simba,fast charging experience with a speed of 24W Power Delivery.
4,18W Dual QC-PD Charger with Type-C cable,Chargers,simba,"including micro USB, supports all connectivity, Type C and Apple Lightning Cable."
5,300W RMS Sound,SoundBars,simba,Aavante Bar 2600 2.1 Channel Sound Wired Subwoofer\nMulti-Connectivity
6,60W RMS Sound,SoundBars,simba,Multiple EQ Modes 2.0 Channel Sound\nBluetooth v5.0
7,Aavante Bar 1200D,SoundBars,simba,100W RMS Sound EQ Modes\n2.1.Channel Sound
8,Aavante Bar 1580,SoundBars,simba,2.1.Channel Sound Sleek Superior Design\n60W Wired Subwoofer
9,Aavante Bar 1850D,SoundBars,simba,2.1.Channel Sound Multiple EQ Modes\n220W RMS Sound
10,Aavante Bar 2050,SoundBars,simba,2.1.Channel Sound Sleek Superior Design\nWireless Subwoofer
11,Aavante Bar 2500,SoundBars,simba,5.1 Channel Sound 180W RMS Sound\n2 Satelite Speakers
12,Aavante Bar 3100D,SoundBars,simba,EQ Modes 5.1 Channel Sound\n250W RMS Sound
13,Aavante Bar 4100DA,SoundBars,simba,300W RMS Sound 3.1.2 Channel\nMultiple Connectivity
14,Aavante Bar Aura,SoundBars,simba,2.1.Channel Sound Wired Subwoofer\nBluetooth v5.3
15,Aavante Bar Maven,SoundBars,simba,2.1 Channel Sound Subwoofer\nMulti-Connectivity
16,Aavante Bar Octave,SoundBars,simba,2.1.Channel Sound Sleek & Lightweight\nBluetooth v5.3
17,Aavante Bar Quake,SoundBars,simba,Bluetooth v5.3 2.1 Channel Sound\nMultiple EQ modes
18,Aavante Bar Rhythm,SoundBars,simba,Bluetooth v5.3 EQ Modes\n2.0 Channel Sound
19,Aavante Bar Stark,SoundBars,simba,"160W RMS Bluetooth Soundbar with Wireless Subwoofer, AUX, boAt Signature Sound, Multiple EQ Modes"
20,Aavante Bar Theme,SoundBars,simba,"100+ Watch Faces, Control Your Music & Camera, Live Cricket Scores, Smartwatch with 1.69"" (4.29 cm) HD Display"
21,Aavante Bar Tune,SoundBars,simba,Bluetooth v5.3 EQ Modes\n2.0 Channel Sound
22,Airdopes 115,Wireless Earbuds,simba,13mm Drivers BEAST™ Mode
23,Airdopes 121 PRO,Wireless Earbuds,simba,ASAP™ Charge IWP Technology
24,Airdopes 121 v2,Wireless Earbuds,simba,Up to 14HRS Playback IWP Technology\nLED Battery Case
25,Airdopes 131,Wireless Earbuds,simba,13mm drivers IWP Technology
26,Airdopes 131 PRO,Wireless Earbuds,simba,Clear Calling BEAST™ Mode
27,Airdopes 141,Wireless Earbuds,simba,Clear Calling ASAP™ Charge
28,Airdopes 161,Wireless Earbuds,simba,ASAP™ Charge IWP Technology
29,Airdopes 161 Pro,Wireless Earbuds,simba,Bluetooth V5.3 BEAST™ Mode\nIWP™ Technology
30,Airdopes 170,Wireless Earbuds,simba,ENx™ Technology BEAST™ Mode\n13mm Drivers
31,Airdopes 181,Wireless Earbuds,simba,Clear Calling BEAST™ Mode
32,Airdopes 381,Wireless Earbuds,simba,Smart Touch Controls
33,Airdopes 402,Wireless Earbuds,simba,Clear Calling ASAP™ Charge
34,Airdopes 441,Wireless Earbuds,simba,IPX7 Water Resistance IWP Technology
35,Airdopes Alpha,Wireless Earbuds,simba,ENx™ Technology ASAP™ Charge\nIWP™ Technology
36,Airdopes Atom 81,Wireless Earbuds,simba,ENx™ Technology 13mm Drivers\nBluetooth v5.3
37,Airdopes Atom 83,Wireless Earbuds,simba,13mm Drivers ASAP™ Charge
38,DV 22.5W QCPD White with Free PD Cable,Chargers,simba,"18W QC 3.0 With Compact & Lightweight Design, Dual Output Ports : 22.5W Type C PD"
39,EnergyShroom PB 155,powerbank,simba,10000 mAh 3.7V(37Wh) Rated Capacity 6500mAh 5.0V (Type 1A) Battery Type Li-ion-Polymer
40,EnergyShroom PB06,powerbank,simba,"1x Micro USB Input, 1x Type-C(2-way), 2x USB Output"
41,EnergyShroom PB08,powerbank,simba,6500mAh 5.0V (Type 1A) Battery Type Lithium-Polymer Input 5V/3A
42,EnergyShroom PB100,powerbank,simba,10000mAh Battery
43,EnergyShroom PB105,powerbank,simba,6500mAh 5.0V (Type 1A) Dimensions 142 X 66.1 X 15mm Battery Type Li-ion-Polymer
44,EnergyShroom PB150,powerbank,simba,10000mAh Battery
45,EnergyShroom PB18,powerbank,simba,20000mAh power bank
46,EnergyShroom PB20,powerbank,simba,20000mAh power bank
47,EnergyShroom PB200,powerbank,simba,20000mAh Battery
48,EnergyShroom PB250,powerbank,simba,20000mAh Battery
49,EnergyShroom PB255,powerbank,simba,"13500mAh 5.0V (Type 1A) Battery Type Li-ion-Polymer Input DC 5V/2A, 9V/2A"
50,EnergyShroom PB300,powerbank,simba,Quick Charge 3.0 Technology and 18 W of power offer you lightning-fast speeds of charge
51,EnergyShroom PB300 Air,powerbank,simba,"10000mAh Powerbank with 2-way 22.5W fast charging, 12 Layer Smart IC Protection, LED battery display"
52,EnergyShroom PB300 Avenger Edition,powerbank,simba,"12-Layer Smart IC Protection, 22.5W Fast Charging, Powerbank with 10000mAh battery capacity"
53,EnergyShroom PB300 Black Panther Edition,powerbank,simba,"10000mAh Powerbank with 22.5W Fast Charging, 12-Layer Smart IC Protection, Universal Compatibility"
54,EnergyShroom PB310 Wireless Pro,powerbank,simba,"12 Layer Smart IC Protection, 22.5W Wired Fast Charging, Powerbank with 15W Wireless Charging"
55,Energyshroom PB400,powerbank,simba,Powerbank with 20000mAh battery capacity with Smart IC protection
56,EnergyShroom PB9,powerbank,simba,10000mAh Power Bank
57,Immortal 100,Gaming Headphones,simba,ENx™ Technology BEAST™ Mode\nIWP Technology
58,Immortal 101,Gaming Headphones,simba,ENx™ Technology BEAST™ Mode\nBlazing RGB Lights
59,Immortal 111,Gaming Headphones,simba,BEAST™ Mode 40 Hours Playback\nENx™ Technology
60,Immortal 121 Deadpool Edition,Gaming Headphones,simba,ENx™ Technology 40 Hours Playback\nBlazing RGB Lights
61,Immortal 121 Hulk Edition,Gaming Headphones,simba,ENx™ Technology 40 Hours Playback\nBlazing RGB Lights
62,Immortal 171,Gaming Headphones,simba,Up to 40HRS Playback BEAST™ Mode\nIWP Technology
63,Immortal 181,Gaming Headphones,simba,ENx™ Technology BEAST™ Mode\nASAP™ Charge
64,Immortal 200,Gaming Headphones,simba,50mm Drivers Noise Isolating Mic\nReal RGB LEDs
65,Immortal 201,Gaming Headphones,simba,ENx™ Technology BEAST™ Mode\nASAP™ Charge
66,Matrix,smart watch,simba,Always On Display Activity Tracker
67,Misfit Groom 100,Trimmers,simba,"Multiple Range Settings, Premium Matte Finish, Professional Trimmer for Men with 120 mins Runtime"
68,Misfit Groom 100 3 in 1,Trimmers,simba,120 Minutes Runtime Premium Matte Finish\nType-C charging
69,Misfit Groom 300,Trimmers,simba,"20 Length Settings, Premium Matte Finish, Trimmer with 120 Minutes Runtime, Type-C Charging"
70,Misfit Groom 700,Trimmers,simba,"40 Length Settings, Premium Matte Finish, Trimmer with 180 Minutes Runtime, Type-C Charging"
71,Misfit Groom 700 3 in 1,Trimmers,simba,"0.5-20 mm Length Settings, 3 Attachments, Grooming Kit with 180 Minutes Runtime"
72,Misfit Groom 700 5 in 1,Trimmers,simba,Ceramic Blades 5 Attachments\n180 Minutes Runtime
73,Misfit T150 Trimmer,Trimmers,simba,"Beard & Moustache, Ear & Eyebrow, Nose, Titanium Coated Water Resistant Yes Charging Time 1 hour Suitable For Body Grooming"
